timestamp,event,voice,model,chars,credits_estimate,stability,similarity,speed,seconds,budget,fits,peak_db,file,notes
2026-08-05T22:22:26Z,lohen_impressed,myvoicefordublo,eleven_v3,49,26,0.5,0.75,0.9,2.240,2.70,да,-0.8,lohen_impressed__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:29Z,lohen_security,myvoicefordublo,eleven_v3,45,24,0.5,0.75,0.9,2.400,3.60,да,-1.7,lohen_security__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:34Z,prisoner_refuse,myvoicefordublo,eleven_v3,51,28,0.5,0.75,0.9,2.560,2.60,да,-1.7,prisoner_refuse__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:37Z,lohen_tongue,myvoicefordublo,eleven_v3,42,23,0.5,0.75,0.9,1.760,2.30,да,-1.4,lohen_tongue__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:41Z,lohen_game,myvoicefordublo,eleven_v3,46,25,0.5,0.75,0.9,1.520,2.20,да,-0.6,lohen_game__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:45Z,lohen_chambers,myvoicefordublo,eleven_v3,53,29,0.5,0.75,0.9,3.840,2.90,нет,-0.7,lohen_chambers__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:48Z,lohen_count,myvoicefordublo,eleven_v3,34,18,0.5,0.75,0.9,2.080,3.50,да,-2.6,lohen_count__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:51Z,guard_shout,myvoicefordublo,eleven_v3,38,21,0.5,0.75,1.0,2.160,1.60,нет,-0.9,guard_shout__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:54Z,lohen_finally,myvoicefordublo,eleven_v3,40,22,0.5,0.75,0.9,1.680,5.10,да,-1.8,lohen_finally__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:22:57Z,lohen_feel,myvoicefordublo,eleven_v3,43,23,0.5,0.75,0.9,1.920,5.20,да,-1.2,lohen_feel__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:23:00Z,lohen_thatall,myvoicefordublo,eleven_v3,48,26,0.5,0.75,0.9,1.680,5.20,да,-0.7,lohen_thatall__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:23:04Z,lohen_really,myvoicefordublo,eleven_v3,31,17,0.5,0.75,1.0,1.680,2.00,да,-2.4,lohen_really__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:23:08Z,lohen_final,myvoicefordublo,eleven_v3,71,38,0.5,0.75,0.9,4.880,9.40,да,-1.1,lohen_final__myvoicefordublo_a1.mp3,"театральная подача, максимум ЧСВ"
2026-08-05T22:24:11Z,lohen_chambers,myvoicefordublo,eleven_v3,34,18,0.5,0.75,1.05,2.480,2.90,да,-0.6,lohen_chambers__myvoicefordublo_a2.mp3,правка: не влезали
2026-08-05T22:24:14Z,guard_shout,myvoicefordublo,eleven_v3,25,14,0.5,0.75,1.15,1.760,1.60,нет,-1.4,guard_shout__myvoicefordublo_a2.mp3,правка: не влезали
2026-08-05T22:25:13Z,guard_shout,myvoicefordublo,eleven_v3,18,10,0.5,0.75,1.1,1.440,1.60,да,-1.4,guard_shout__myvoicefordublo_a3.mp3,правка 2: текст урезан до двух слов
2026-08-06T06:59:55Z,lohen_impressed,lo_v41,eleven_v3,49,26,0.5,0.75,0.9,2.080,2.70,да,-1.2,lohen_impressed__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T06:59:59Z,lohen_security,lo_v41,eleven_v3,45,24,0.5,0.75,0.9,2.880,3.60,да,-2.7,lohen_security__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:03Z,prisoner_refuse,lo_v41,eleven_v3,51,28,0.5,0.75,0.9,2.640,2.60,нет,-3.9,prisoner_refuse__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:06Z,lohen_tongue,lo_v41,eleven_v3,42,23,0.5,0.75,0.9,1.840,2.30,да,-1.5,lohen_tongue__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:11Z,lohen_game,lo_v41,eleven_v3,46,25,0.5,0.75,0.9,1.760,2.20,да,-1.0,lohen_game__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:14Z,lohen_chambers,lo_v41,eleven_v3,34,18,0.5,0.75,1.05,2.800,2.90,да,-0.6,lohen_chambers__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:18Z,lohen_count,lo_v41,eleven_v3,34,18,0.5,0.75,0.9,2.000,3.50,да,-5.1,lohen_count__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:21Z,guard_shout,lo_v41,eleven_v3,18,10,0.5,0.75,1.1,1.360,1.60,да,-1.3,guard_shout__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:24Z,lohen_finally,lo_v41,eleven_v3,40,22,0.5,0.75,0.9,1.440,5.10,да,-2.9,lohen_finally__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:28Z,lohen_feel,lo_v41,eleven_v3,43,23,0.5,0.75,0.9,2.080,5.20,да,-2.1,lohen_feel__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:33Z,lohen_thatall,lo_v41,eleven_v3,48,26,0.5,0.75,0.9,1.840,5.20,да,-1.2,lohen_thatall__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:36Z,lohen_really,lo_v41,eleven_v3,31,17,0.5,0.75,1.0,1.360,2.00,да,-2.1,lohen_really__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:00:42Z,lohen_final,lo_v41,eleven_v3,71,38,0.5,0.75,0.9,5.440,9.40,да,-1.2,lohen_final__lo_v41_a1.mp3,тот же прогон голосом lo_v41
2026-08-06T07:01:04Z,prisoner_refuse,lo_v41,eleven_v3,51,28,0.5,0.75,0.95,2.560,2.60,да,-3.7,prisoner_refuse__lo_v41_a2.mp3,перебрал 0.04 с на темпе 0.9
2026-08-06T13:01:24Z,lohen_impressed,mysts<-lo_v2,eleven_multilingual_sts_v2,0,81,,,,4.876,2.70,нет,-2.4,lohen_impressed__mysts_a1.mp3,"из lohen_impressed_all3_take4.wav; выбор из чата: impressed последний, security 4 из 5, prisoner последний"
2026-08-06T13:01:29Z,lohen_security,mysts<-lo_v2,eleven_multilingual_sts_v2,0,55,,,,3.344,3.60,да,-1.5,lohen_security__mysts_a1.mp3,"из lohen_security_take4.wav; выбор из чата: impressed последний, security 4 из 5, prisoner последний"
2026-08-06T13:01:34Z,prisoner_refuse,mysts<-lo_v2,eleven_multilingual_sts_v2,0,56,,,,3.390,2.60,нет,-0.9,prisoner_refuse__mysts_a1.mp3,"из prisoner_refuse_all_take4.wav; выбор из чата: impressed последний, security 4 из 5, prisoner последний"
2026-08-06T13:01:56Z,lohen_tongue,lo_v2,eleven_v3,42,23,0.5,0.75,0.9,1.760,2.30,да,-2.2,lohen_tongue__lo_v2_a1.mp3,"остальные 10 синтезом, тем же тембром что STS"
